"id","name","organisation","startdate","enddate","number_of_participants","number_of_waste_bags","kg_of_collected_waste","handout_gloves","handout_wastebags","municipality","county","municipality_name","county_name","meters_cleaned_beach","teiner","oljefat","fulle_soppelbotter","avfallsstasjon","kloakkutslipp","dumpet_avfall","serveringssteder","turisme","biltrafikk","havn","landbruk","fiskeri_havbruk","bygg_anlegg","geom_wkt","personal_use","fisheries","industrial","hygiene","others","created_at","created_by","updated_at","updated_by"
"1","Rydde Tussaneset","Fjordane Friluftsråd","3/4/2020 02:00:00","3/4/2020 02:00:00","4","0","40","0","0","4645","46","Askvoll","Vestland","73",,"0",,,,,,,,,,,,"POINT(4.73920629391878 61.30958152842)","25","46","15","0","58","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2","Olaneset","Fjordane Friluftsråd","4/4/2020 02:00:00","4/4/2020 02:00:00","3","0","60","0","0","4645","46","Askvoll","Vestland","26",,"0",,,,,,,,,,,,"POINT(4.74170143227799 61.289527905494)","79","393","52","21","121","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"3","Hopen, Rekstavågen","Fjordane Friluftsråd","10/2/2020 01:00:00","31/3/2020 02:00:00","3","6","100","0","0","4649","46","Stad","Vestland","102",,"0",,,,,,,,,,,,"POINT(5.79255727280927 61.8593744598788)","56","69","40","13","36","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"8","Rydde Risavika Havnering","Clean Shores Global","6/4/2020 02:00:00","6/4/2020 02:00:00","1","12","180","1","1","1124","11","Sola","Rogaland","42",,"0",,,,"1",,,,"1",,,,"POINT(5.60479749799411 58.9246080097417)","360","626","1347","81","209","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"12","Rydde Eidvika","","6/4/2020 02:00:00","10/4/2020 02:00:00","2","7","70","0","0","4631","46","Alver","Vestland","134",,"2",,,,,,,,,,,,"POINT(4.96664175936764 60.6365479223685)","93","24","57","46","110","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"13","Rydde Pannevikodden","Clean Shores Global","6/3/2020 01:00:00","30/3/2020 02:00:00","6","1","10","0","0","1103","11","Stavanger","Rogaland","2",,"0",,,,,,,,,,,,"POINT(5.76878674166393 58.962287594959)","62","14","10","10","8","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"14","Rydde Snøde - Risavika Havnering 2","Clean Shores Global","7/4/2020 02:00:00","7/4/2020 02:00:00","2","22","350","1","1","1124","11","Sola","Rogaland","185",,"10",,,,,,,,,,,,"POINT(5.6066725694486 58.9258289596113)","592","2055","1229","128","407","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"24","Rydde Snøde Risavika 3","Clean Shores Global","8/4/2020 02:00:00","8/4/2020 02:00:00","2","15","170","1","1","1124","11","Sola","Rogaland","49",,"3",,,,,,,,,,,,"POINT(5.60465658256087 58.926865161954)","521","2087","628","93","206","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"30","Toftegård, Dalstø og Hopland","Norges Dykkeforbund","8/2/2020 01:00:00","26/2/2020 01:00:00","8","12","120","0","0","4632","46","Austrheim","Vestland","42",,"0",,,,,,,,,,,,"POINT(4.90391474214119 60.8089592954962)","11","29","11","0","2","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"31","Rydde Fjærelva","","9/4/2020 02:00:00","9/4/2020 02:00:00","3","2","20","0","0","1804","18","Bodø","Nordland","245",,"0",,,,,,,,,,,,"POINT(14.7149980505359 67.5034496923183)","1","68","35","13","20","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
